url,date,title,details,time,org
2022-11-12,https://www.bu.edu/calendar/?day=2022-11-12&uid=267261@17.calendar.bu.edu,SpotOn! Podcast: The Not So Sweet News About Added Sugars,"We are consuming approximately 17 teaspoons of added sugars daily.  A sugary diet can increase your risk of heart disease, obesity, and diabetes.  Find out why and how to curb your sweet tooth. On all podcast platforms.",12:00 am  every day,Health Sciences
2022-11-12,https://www.bu.edu/calendar/?day=2022-11-12&uid=260297@17.calendar.bu.edu,Spot On! Podcast:  The Latest Buzz About Caffeine,Americans run on caffeine as approximately 85% of us drink at least one caffeinated beverage very day.  We will discuss the latest on the benefits of caffeine in the diet.,12:00 am  every day,Health Scienes
2022-11-12,https://www.bu.edu/calendar/?day=2022-11-12&uid=264290@17.calendar.bu.edu,Spot On! Podcast:Is CBD a Help or Just Hype?,This week we talk with an expert about CBD.  Tune in to learn more about this fascinating topic.,All day  every day,Health Sciences
2022-11-12,https://www.bu.edu/calendar/?day=2022-11-12&uid=260831@17.calendar.bu.edu,Spot On! Podcast:  What Is Intuitive Eating?,"Elyse Resch, RDN, co-author of the book, Intuitive Eating, share her expertise on this evidenced-based, mind-body health approach to eating.

Spot On! is available on Apple Podcast: https://podcasts.apple.com/us/podcast/spot-on/id1448760100
",12:00 am  every day,Health Sciences
2022-11-12,https://www.bu.edu/calendar/?day=2022-11-12&uid=274853@17.calendar.bu.edu,Spot On! Podcast:  What Really  is a Sustainable Diet?,Tune in to learn all about sustainable diets and the role of both plant and animal-sourced foods in environmentally conscious diets.,9:00 am  every day,Health Sciences
2022-11-12,https://www.bu.edu/calendar/?day=2022-11-12&uid=274316@17.calendar.bu.edu,African American Art History: Present Coordinates Symposium - Session 2 ,"Charlette Caldwell – 9:00 amPhD Candidate, Architecture, Columbia University“The Crucible of the Freedom Church: Building Culture and the African Methodist Episcopal Church”Bentley Brown – 10:00 amPhD Fellow, Institute of Fine Art, New York University“It was Like Shan-gri-la: Frederick J. Brown, 120 Wooster Street, and Black creatives of New York’s ‘Downtown Scene’, 1970-1989”Catherine Rucker – 11:15 amPhD Candidate, History of Art, Archaeology, and Visual Studies, Cornell University“Refractive Blackness: Visuality in Black Conceptual Art of the Twentieth Century”Boston University’s Department of the History of Art &amp; Architecture is pleased to present African American Art History: Present Coordinates, a symposium of research conducted by emerging scholars in the field of African American art history. This program is committed to advancing the connection and collaboration between diverse members of the Boston University community and emerging historians of African American visual art, material culture, and architecture.","9:00 am on Saturday, November 12, 2022",
2022-11-12,https://www.bu.edu/calendar/?day=2022-11-12&uid=269364@17.calendar.bu.edu,Hidden and Hiding (Tago ng Tago): Filipino Weaving by Bhen Alan,"Tago ng Tago (always hiding) or TNT is a term coined for Filipinos abroad who are in hiding from the government authorities or ill-whistlers, due to expired work visas, undocumented status, and overstaying in a country. “TNT immigrants” is an identity given to Filipinos who live unauthorized and have to conceal their immigration status. 

In this exhibition, artist Bhen Alan crafts intricate tapestries using an ancient Filipino weaving tradition. These tapestries take on sculptural forms with Alan’s use of mixed media such as coconut and bamboo leaves, recycled plastics, woven rice sacks, fans and feathers. This traditional weaving brings a spotlight to Alan’s oft overlooked Filipino heritage in this country. While trying to connect with his own community, Alan uses his art to celebrate his own culture while raising questions of equality and human rights.","11:00 am  – 5:00 pm  on every Tuesday, Wednesday, Thursday, Friday, &amp; Saturday until Saturday, December 3, 2022",
2022-11-12,https://www.bu.edu/calendar/?day=2022-11-12&uid=269363@17.calendar.bu.edu,"CEY ADAMS, DEPARTURE: 40 Years of Art and Design","As a visionary artist, a cultural pioneer, and innovative designer, Cey Adams personifies the New York City hustle. A graffiti and design legend, Adams honed his art skills painting the streets and trains of NYC in the late 1970's before moving downtown where the street art was leaking into the city's high end galleries. Like his pop art contemporaries of the time, Adams understood the power of images, media and advertising, a position that left him uniquely suited to give visual life to a new movement called hip hop.
 
CEY ADAMS, DEPARTURE: 40 Years of Art and Design examines Adams' more than 4 decades of work which spans everything from graffiti to designing album covers, t-shirts and posters for some of hip hop's foundational acts, and his expanding commercial collaborations with global brands. With a return to his roots more than a decade ago, Adams has explored his evolving art through fine art and mixed media collages that evoke nostalgia while looking deeper into an Americana that is effortlessly authentic.","11:00 am  – 5:00 pm  on every Tuesday, Wednesday, Thursday, Friday, &amp; Saturday until Sunday, December 11, 2022",
2022-11-12,https://www.bu.edu/calendar/?day=2022-11-12&uid=274254@17.calendar.bu.edu,African Studies Association Teachers' Workshop: African Cities Across the Curriculum,"The Teachers’ Workshop invites K-12 teachers to engage with African cities, as a place and a concept. The theme of cities offers concrete ways to bring Africa into K-12 classrooms. Teachers attending the online workshop will have opportunities to examine the long history of urbanism in Africa, and learn about the historical development and importance of African cities in enabling societies to thrive, accumulate wealth, and lead technological innovation; identify the types of cities that are found throughout the continent and their local specificities and regional networks, including port cities, island cities, trade cities among other types of cities; discuss crucial questions about African cities in the context of the climate crisis and learn about the struggles people are waging for sustainable futures; hear from children and youth literature authors (or hear about children’s and youth literatures that bring diverse social and historical perspectives on African cities. Reflect on ways to introduce themes related to African cities to your classrooms. Registration is $35 but limited free tickets are still available! Register below:","12:00 pm to 5:30 pm  on Saturday, November 12, 2022",
2022-11-12,https://www.bu.edu/calendar/?day=2022-11-12&uid=274786@17.calendar.bu.edu,Kirtan Chant in Marsh Chapel,Join MH404 Sacred Music East and West students to sing and play Hindu-style chants together accompanied by South Indian drum and harmonium as well as percussion. All are welcome!,"6:00 pm to 8:00 pm  on Saturday, November 12, 2022",
